原始文件,来源文件夹,原始地区,类型,年份,序号,目标地区/海域,总文章数,写出文章数,政治梗排除文章数,未命中海域文章数,命中关键词,输出文件,状态,原路径
website_zj-2017-01.txt,zj,zj,website,2017,1,xm,195,27,0,63,"九龙江, 九龙江口, 厦门, 厦门中华白海豚, 厦门海域, 厦门湾, 厦门珍稀海洋物种国家级自然保护区, 金门, 集美",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/zj/xm/website_xm-2017-01.txt,已写出,/Users/gurumakaza/Downloads/zj/website_zj-2017-01.txt
website_zj-2017-01.txt,zj,zj,website,2017,1,pr,195,77,0,63,"三跑, 关帝湾, 南丫岛, 台山, 大屿山, 大湾区, 崖门, 江门, 淇澳, 港珠澳, 港珠澳大桥, 澳门, 珠江, 珠江口白海豚保护区, 珠海, 粤港澳, 粤港澳大湾区, 香港, 香港国际机场",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/zj/pr/website_pr-2017-01.txt,已写出,/Users/gurumakaza/Downloads/zj/website_zj-2017-01.txt
website_zj-2017-01.txt,zj,zj,website,2017,1,bb,195,27,0,63,"三娘湾, 北海, 北部湾, 广西, 钦州, 防城港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/zj/bb/website_bb-2017-01.txt,已写出,/Users/gurumakaza/Downloads/zj/website_zj-2017-01.txt
website_zj-2017-01.txt,zj,zj,website,2017,1,st,195,4,0,63,"南澳, 汕头",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/zj/st/website_st-2017-01.txt,已写出,/Users/gurumakaza/Downloads/zj/website_zj-2017-01.txt
website_zj-2017-01.txt,zj,zj,website,2017,1,lz,195,1,0,63,"特呈岛, 雷州",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/zj/lz/website_lz-2017-01.txt,已写出,/Users/gurumakaza/Downloads/zj/website_zj-2017-01.txt
website_zj-2019-01.txt,zj,zj,website,2019,1,xm,82,6,0,31,"厦门, 同安湾",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/zj/xm/website_xm-2019-01.txt,已写出,/Users/gurumakaza/Downloads/zj/website_zj-2019-01.txt
website_zj-2019-01.txt,zj,zj,website,2019,1,pr,82,28,0,31,"万山, 伶仃洋, 大湾区, 担杆, 淇澳, 深圳湾, 港珠澳, 港珠澳大桥, 澳门, 珠江, 珠江口中华白海豚国家级自然保护区, 珠海, 粤港澳, 粤港澳大湾区, 蛇口, 香港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/zj/pr/website_pr-2019-01.txt,已写出,/Users/gurumakaza/Downloads/zj/website_zj-2019-01.txt
website_zj-2019-01.txt,zj,zj,website,2019,1,bb,82,16,0,31,"三娘湾, 北海, 北部湾, 广西, 钦州, 防城港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/zj/bb/website_bb-2019-01.txt,已写出,/Users/gurumakaza/Downloads/zj/website_zj-2019-01.txt
website_zj-2019-01.txt,zj,zj,website,2019,1,st,82,1,0,31,汕头,/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/zj/st/website_st-2019-01.txt,已写出,/Users/gurumakaza/Downloads/zj/website_zj-2019-01.txt
website_zj-2019-01.txt,zj,zj,website,2019,1,lz,82,4,0,31,徐闻,/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/zj/lz/website_lz-2019-01.txt,已写出,/Users/gurumakaza/Downloads/zj/website_zj-2019-01.txt
